mfcc_logfbank_0,mfcc_logfbank_1,mfcc_logfbank_2,mfcc_logfbank_3,mfcc_logfbank_4,mfcc_logfbank_5,mfcc_logfbank_6,mfcc_logfbank_7,mfcc_logfbank_8,mfcc_logfbank_9,mfcc_logfbank_10,mfcc_logfbank_11,mfcc_logfbank_12,mfcc_logfbank_13,mfcc_logfbank_14,mfcc_logfbank_15,mfcc_logfbank_16,mfcc_logfbank_17,mfcc_logfbank_18,mfcc_logfbank_19,mfcc_logfbank_20,mfcc_logfbank_21,mfcc_logfbank_22,mfcc_logfbank_23,mfcc_logfbank_24,mfcc_logfbank_25
2897.4142048189174,3051.208326512309,2863.1899592128743,2801.4063000803717,2130.7146364467876,2002.990268220695,2166.7335741241436,2661.048537173246,2555.0672966981583,2300.718325697007,2320.150634936157,2515.964413091584,2618.5012428938794,2677.7073028468803,2733.5693723282293,2812.885540033798,2933.4619249057937,3049.936176015292,3131.4260058891323,3215.051275380012,3308.1453467242077,3390.04489925804,3475.1367949107284,3556.9724590018577,3628.4301294068573,3682.993895019302
3104.118812966213,3285.5900451049397,2997.9389374200596,2928.644698660178,2715.302169878699,2316.9567802729653,2298.7109271619684,2957.218747496123,2810.134503225206,2371.1140624648065,2357.958112364901,2505.0989577987307,2557.244282515564,2652.9175471291896,2727.947948187132,2836.052013742422,2954.906829121653,3025.0194539152603,3122.8906129915035,3203.9447867444455,3302.9394112044233,3397.4305002744914,3479.686970523023,3555.7424455137616,3626.6097474622597,3676.161529181477
3106.1716815427776,3282.8371026790987,2986.7943973114907,2921.1730054628506,2721.877919042859,2322.7617347466476,2306.4939862789565,2959.6603681658507,2813.0637319306666,2369.999067288738,2365.5187071601313,2503.6033921901176,2557.6858544524453,2636.232974239025,2718.5070201188596,2842.842329233495,2969.0787520650074,3031.2029453261284,3124.894594009655,3217.1425715232476,3305.041407050923,3394.6630962547742,3479.593058174547,3550.3512012404003,3622.2764449126066,3682.479409821721
3053.0183495577285,3341.803094643124,3039.1823812150683,2991.4702814151765,2801.0481789988,2450.744323478683,2255.984329705366,2872.1423502329644,2949.6949774028576,2423.920874850583,2377.982256550262,2480.711058064169,2574.9933065081914,2656.9352871561487,2728.2419237493423,2827.458702246676,2972.585275733705,3044.859258596955,3125.8437632510736,3217.6970805720553,3307.015926147273,3389.094372451837,3473.240451127621,3555.1973931405782,3631.019062399775,3684.112890854304
2880.9142402831562,2889.5291015817247,2769.207575489475,2592.9193754617563,2087.567784201668,2009.451521598766,1988.071250756445,2447.3186377545817,2528.3201495236044,2316.73400221462,2281.2640212324045,2407.465885009258,2547.2705729100217,2662.7532422225486,2730.2611939612584,2818.6669854034776,2944.6601751633148,3038.292920704173,3118.1711423224037,3212.3613305223544,3308.8163991827323,3399.256684079655,3474.384441354331,3550.4547593738153,3628.2037143710413,3680.366605996732
3146.9904040567503,3329.611375497925,3017.438316492622,2942.1665690519303,2733.857375943762,2329.1337412724824,2307.104984751942,2961.5808776824842,2809.1996724143587,2368.738850302198,2371.9026733902574,2504.322169387668,2568.041015321792,2663.0607883347093,2732.434821513477,2850.9167125176027,2962.597099708713,3027.8842370272846,3122.3032871729706,3217.460944991921,3310.819322771337,3396.2230943666577,3480.364624588083,3553.8022340992084,3628.1394662224507,3682.91992630061
2926.4434199435073,3075.9832976579282,2879.4372542964575,2824.047279972713,2134.516225014106,1999.9250248192093,2178.715319119751,2685.0450721429515,2567.78848697655,2305.403664885459,2323.5870428893345,2512.6420228860557,2617.1826351005257,2685.6034476621035,2739.843379478175,2819.047196780899,2930.7128249232474,3050.0895424618275,3136.279215252488,3215.719707267325,3311.435138785552,3393.1429285905565,3479.4832693178364,3559.0528188895305,3624.401356853169,3681.7648977201334
1536.926797226656,3387.1965284064922,2905.7668213884817,2985.351113194584,2942.5199943471575,2576.314129381221,2002.3030250216723,2315.5981135720913,3072.0616353802166,2753.6984736284444,2398.452393843958,2436.170296181077,2582.6379736414506,2648.5639286836167,2739.2894566206137,2818.408879379841,2928.8378220255895,3068.9138107928134,3128.1111469416064,3210.5003137710346,3305.81546650805,3401.8906878479743,3482.096239197721,3553.78214053227,3628.6259489723107,3683.686010323865
2885.3027549039143,3038.575183486328,2849.779259966759,2797.0941523241627,2136.1609142257653,2013.6284931471641,2178.9091632936916,2668.8020184795287,2559.7880342929275,2304.852546926075,2326.526298184238,2509.6021367848916,2618.476518879876,2682.317828795609,2738.1393412073426,2818.8002368887487,2941.1357668324854,3051.6834279222658,3125.474143148692,3212.0930168637633,3308.938252372196,3389.8547455359726,3474.0522406310643,3551.2556735788626,3621.5041198567337,3682.2121065818546
2902.9481896736097,2909.0746750744283,2782.6216017960273,2597.759817709335,2108.652741169491,2015.8583358106268,1976.787152030943,2454.3854225691007,2534.7134480837008,2321.2833965670184,2290.094905987878,2398.503506312599,2540.0732648052044,2664.8614334184067,2738.1604180981367,2824.6171147519726,2935.6607124197617,3035.294941288749,3122.6648950215053,3216.989598395733,3306.474838486812,3392.0095086473098,3476.590996226328,3554.604000909286,3629.2185215252366,3684.8889796474405
